"","drivernumber","teamname","position","gridposition","status","race","year"
"642",3,"Renault",3,5,"Finished",13,2020
"643",26,"AlphaTauri",4,8,"Finished",13,2020
"644",16,"Ferrari",5,7,"Finished",13,2020
"645",11,"Racing Point",6,11,"Finished",13,2020
"646",55,"McLaren",7,10,"Finished",13,2020
"647",4,"McLaren",8,9,"Finished",13,2020
"648",7,"Alfa Romeo Racing",9,18,"Finished",13,2020
"649",99,"Alfa Romeo Racing",10,20,"Finished",13,2020
"650",6,"Williams",11,19,"Finished",13,2020
"651",5,"Ferrari",12,14,"Finished",13,2020
"652",18,"Racing Point",13,15,"Finished",13,2020
"653",8,"Haas F1 Team",14,16,"Finished",13,2020
"654",23,"Red Bull Racing",15,6,"Finished",13,2020
"655",63,"Williams",16,13,"Accident",13,2020
"656",33,"Red Bull Racing",17,3,"Puncture",13,2020
"657",20,"Haas F1 Team",18,17,"Illness",13,2020
"658",31,"Renault",19,12,"Gearbox",13,2020
"659",10,"AlphaTauri",20,4,"Water pressure",13,2020
"660",44,"Mercedes",1,6,"Finished",14,2020
"661",11,"Racing Point",2,3,"Finished",14,2020
"662",5,"Ferrari",3,11,"Finished",14,2020
"663",16,"Ferrari",4,12,"Finished",14,2020
"664",55,"McLaren",5,15,"Finished",14,2020
"665",33,"Red Bull Racing",6,2,"Finished",14,2020
"666",23,"Red Bull Racing",7,4,"Finished",14,2020
"667",4,"McLaren",8,14,"Finished",14,2020
"668",18,"Racing Point",9,1,"Finished",14,2020
"669",3,"Renault",10,5,"Finished",14,2020
"670",31,"Renault",11,7,"+1 Lap",14,2020
"671",26,"AlphaTauri",12,16,"+1 Lap",14,2020
"672",10,"AlphaTauri",13,19,"+1 Lap",14,2020
"673",77,"Mercedes",14,9,"+1 Lap",14,2020
"674",7,"Alfa Romeo Racing",15,8,"+1 Lap",14,2020
"675",63,"Williams",16,0,"+1 Lap",14,2020
"676",20,"Haas F1 Team",17,13,"Withdrew",14,2020
"677",8,"Haas F1 Team",18,17,"Collision damage",14,2020
"678",6,"Williams",19,0,"Collision damage",14,2020
"679",99,"Alfa Romeo Racing",20,10,"Gearbox",14,2020
"680",44,"Mercedes",1,1,"Finished",15,2020
"681",33,"Red Bull Racing",2,3,"Finished",15,2020
"682",23,"Red Bull Racing",3,4,"Finished",15,2020
"683",4,"McLaren",4,9,"Finished",15,2020
"684",55,"McLaren",5,15,"Finished",15,2020
"685",10,"AlphaTauri",6,8,"Finished",15,2020
"686",3,"Renault",7,6,"Finished",15,2020
"687",77,"Mercedes",8,2,"Finished",15,2020
"688",31,"Renault",9,7,"Finished",15,2020
"689",16,"Ferrari",10,12,"+1 Lap",15,2020
"690",26,"AlphaTauri",11,10,"+1 Lap",15,2020
"691",63,"Williams",12,14,"+1 Lap",15,2020
"692",5,"Ferrari",13,11,"+1 Lap",15,2020
"693",6,"Williams",14,20,"+1 Lap",15,2020
"694",7,"Alfa Romeo Racing",15,17,"+1 Lap",15,2020
"695",99,"Alfa Romeo Racing",16,16,"+1 Lap",15,2020
"696",20,"Haas F1 Team",17,18,"+1 Lap",15,2020
"697",11,"Racing Point",18,5,"Engine",15,2020
"698",18,"Racing Point",19,13,"Collision",15,2020
"699",8,"Haas F1 Team",20,19,"Collision",15,2020
"700",11,"Racing Point",1,5,"Finished",16,2020
"701",31,"Renault",2,11,"Finished",16,2020
"702",18,"Racing Point",3,10,"Finished",16,2020
"703",55,"McLaren",4,8,"Finished",16,2020
"704",3,"Renault",5,7,"Finished",16,2020
"705",23,"Red Bull Racing",6,12,"Finished",16,2020
"706",26,"AlphaTauri",7,6,"Finished",16,2020
"707",77,"Mercedes",8,1,"Finished",16,2020
"708",63,"Mercedes",9,2,"Finished",16,2020
"709",4,"McLaren",10,19,"Finished",16,2020
"710",10,"AlphaTauri",11,9,"Finished",16,2020
"711",5,"Ferrari",12,13,"Finished",16,2020
"712",99,"Alfa Romeo Racing",13,14,"Finished",16,2020
"713",7,"Alfa Romeo Racing",14,18,"Finished",16,2020
"714",20,"Haas F1 Team",15,15,"Finished",16,2020
"715",89,"Williams",16,17,"Finished",16,2020
"716",51,"Haas F1 Team",17,20,"Finished",16,2020
"717",6,"Williams",18,16,"Engine",16,2020
"718",33,"Red Bull Racing",19,3,"Accident",16,2020
"719",16,"Ferrari",20,4,"Collision",16,2020
"720",33,"Red Bull Racing",1,1,"Finished",17,2020
"721",77,"Mercedes",2,2,"Finished",17,2020
"722",44,"Mercedes",3,3,"Finished",17,2020
"723",23,"Red Bull Racing",4,5,"Finished",17,2020
"724",4,"McLaren",5,4,"Finished",17,2020
"725",55,"McLaren",6,6,"Finished",17,2020
"726",3,"Renault",7,11,"Finished",17,2020
"727",10,"AlphaTauri",8,9,"Finished",17,2020
"728",31,"Renault",9,10,"Finished",17,2020
"729",18,"Racing Point",10,8,"Finished",17,2020
"730",26,"AlphaTauri",11,7,"+1 Lap",17,2020
"731",7,"Alfa Romeo Racing",12,15,"+1 Lap",17,2020
"732",16,"Ferrari",13,12,"+1 Lap",17,2020
"733",5,"Ferrari",14,13,"+1 Lap",17,2020
"734",63,"Williams",15,16,"+1 Lap",17,2020
"735",99,"Alfa Romeo Racing",16,14,"+1 Lap",17,2020
"736",6,"Williams",17,18,"+1 Lap",17,2020
"737",20,"Haas F1 Team",18,20,"+1 Lap",17,2020
"738",51,"Haas F1 Team",19,17,"+2 Laps",17,2020
"739",11,"Racing Point",20,19,"Transmission",17,2020
"740",44,"Mercedes",1,2,"Finished",1,2021
"741",33,"Red Bull Racing",2,1,"Finished",1,2021
"742",77,"Mercedes",3,3,"Finished",1,2021
"743",4,"McLaren",4,7,"Finished",1,2021
"744",11,"Red Bull Racing",5,0,"Finished",1,2021
"745",16,"Ferrari",6,4,"Finished",1,2021
"746",3,"McLaren",7,6,"Finished",1,2021
"747",55,"Ferrari",8,8,"Finished",1,2021
"748",22,"AlphaTauri",9,13,"Finished",1,2021
"749",18,"Aston Martin",10,10,"Finished",1,2021
"750",7,"Alfa Romeo Racing",11,14,"Finished",1,2021
"751",99,"Alfa Romeo Racing",12,12,"+1 Lap",1,2021
"752",31,"Alpine",13,16,"+1 Lap",1,2021
"753",63,"Williams",14,15,"+1 Lap",1,2021
"754",5,"Aston Martin",15,20,"+1 Lap",1,2021
"755",47,"Haas F1 Team",16,18,"+1 Lap",1,2021
"756",10,"AlphaTauri",17,5,"Retired",1,2021
"757",6,"Williams",18,17,"Retired",1,2021
"758",14,"Alpine",19,9,"Brakes",1,2021
"759",9,"Haas F1 Team",20,19,"Accident",1,2021
"760",33,"Red Bull Racing",1,3,"Finished",2,2021
"761",44,"Mercedes",2,1,"Finished",2,2021
"762",4,"McLaren",3,7,"Finished",2,2021
"763",16,"Ferrari",4,4,"Finished",2,2021
"764",55,"Ferrari",5,11,"Finished",2,2021
"765",3,"McLaren",6,6,"Finished",2,2021
"766",10,"AlphaTauri",7,5,"Finished",2,2021
"767",18,"Aston Martin",8,10,"Finished",2,2021
"768",31,"Alpine",9,9,"Finished",2,2021
"769",14,"Alpine",10,15,"Finished",2,2021
"770",11,"Red Bull Racing",11,2,"Finished",2,2021
"771",22,"AlphaTauri",12,20,"Finished",2,2021
"772",7,"Alfa Romeo Racing",13,16,"Finished",2,2021
"773",99,"Alfa Romeo Racing",14,17,"+1 Lap",2,2021
"774",5,"Aston Martin",15,0,"Gearbox",2,2021
"775",47,"Haas F1 Team",16,18,"+2 Laps",2,2021
"776",9,"Haas F1 Team",17,19,"+2 Laps",2,2021
"777",77,"Mercedes",18,8,"Collision",2,2021
"778",63,"Williams",19,12,"Collision",2,2021
"779",6,"Williams",20,14,"Collision",2,2021
"780",44,"Mercedes",1,2,"Finished",3,2021
"781",33,"Red Bull Racing",2,3,"Finished",3,2021
"782",77,"Mercedes",3,1,"Finished",3,2021
"783",11,"Red Bull Racing",4,4,"Finished",3,2021
"784",4,"McLaren",5,7,"Finished",3,2021
"785",16,"Ferrari",6,8,"Finished",3,2021
"786",31,"Alpine",7,6,"Finished",3,2021
"787",14,"Alpine",8,13,"Finished",3,2021
"788",3,"McLaren",9,16,"Finished",3,2021
"789",10,"AlphaTauri",10,9,"Finished",3,2021
"790",55,"Ferrari",11,5,"Finished",3,2021
"791",99,"Alfa Romeo Racing",12,12,"+1 Lap",3,2021
"792",5,"Aston Martin",13,10,"+1 Lap",3,2021
"793",18,"Aston Martin",14,17,"+1 Lap",3,2021
"794",22,"AlphaTauri",15,14,"+1 Lap",3,2021
"795",63,"Williams",16,11,"+1 Lap",3,2021
"796",47,"Haas F1 Team",17,19,"+2 Laps",3,2021
"797",6,"Williams",18,18,"+2 Laps",3,2021
"798",9,"Haas F1 Team",19,20,"+2 Laps",3,2021
"799",7,"Alfa Romeo Racing",20,15,"Collision damage",3,2021
"800",44,"Mercedes",1,1,"Finished",4,2021
"801",33,"Red Bull Racing",2,2,"Finished",4,2021
"802",77,"Mercedes",3,3,"Finished",4,2021
"803",16,"Ferrari",4,4,"Finished",4,2021
"804",11,"Red Bull Racing",5,8,"Finished",4,2021
"805",3,"McLaren",6,7,"Finished",4,2021
"806",55,"Ferrari",7,6,"Finished",4,2021
"807",4,"McLaren",8,9,"+1 Lap",4,2021
"808",31,"Alpine",9,5,"+1 Lap",4,2021
"809",10,"AlphaTauri",10,12,"+1 Lap",4,2021
"810",18,"Aston Martin",11,11,"+1 Lap",4,2021
"811",7,"Alfa Romeo Racing",12,17,"+1 Lap",4,2021
"812",5,"Aston Martin",13,13,"+1 Lap",4,2021
"813",63,"Williams",14,15,"+1 Lap",4,2021
"814",99,"Alfa Romeo Racing",15,14,"+1 Lap",4,2021
"815",6,"Williams",16,19,"+1 Lap",4,2021
"816",14,"Alpine",17,10,"+1 Lap",4,2021
"817",47,"Haas F1 Team",18,18,"+2 Laps",4,2021
"818",9,"Haas F1 Team",19,20,"+2 Laps",4,2021
"819",22,"AlphaTauri",20,16,"Electrical",4,2021
"820",33,"Red Bull Racing",1,2,"Finished",5,2021
"821",55,"Ferrari",2,4,"Finished",5,2021
"822",4,"McLaren",3,5,"Finished",5,2021
"823",11,"Red Bull Racing",4,9,"Finished",5,2021
"824",5,"Aston Martin",5,8,"Finished",5,2021
"825",10,"AlphaTauri",6,6,"Finished",5,2021
"826",44,"Mercedes",7,7,"Finished",5,2021
"827",18,"Aston Martin",8,13,"+1 Lap",5,2021
"828",31,"Alpine",9,11,"+1 Lap",5,2021
"829",99,"Alfa Romeo Racing",10,10,"+1 Lap",5,2021
"830",7,"Alfa Romeo Racing",11,14,"+1 Lap",5,2021
"831",3,"McLaren",12,12,"+1 Lap",5,2021
"832",14,"Alpine",13,17,"+1 Lap",5,2021
"833",63,"Williams",14,15,"+1 Lap",5,2021
"834",6,"Williams",15,18,"+1 Lap",5,2021
"835",22,"AlphaTauri",16,16,"+1 Lap",5,2021
"836",9,"Haas F1 Team",17,19,"+3 Laps",5,2021
"837",47,"Haas F1 Team",18,20,"+3 Laps",5,2021
"838",77,"Mercedes",19,3,"Wheel nut",5,2021
"839",16,"Ferrari",20,1,"Driveshaft",5,2021
"840",11,"Red Bull Racing",1,6,"Finished",6,2021
"841",5,"Aston Martin",2,11,"Finished",6,2021
"842",10,"AlphaTauri",3,4,"Finished",6,2021
"843",16,"Ferrari",4,1,"Finished",6,2021
"844",4,"McLaren",5,9,"Finished",6,2021
"845",14,"Alpine",6,8,"Finished",6,2021
"846",22,"AlphaTauri",7,7,"Finished",6,2021
"847",55,"Ferrari",8,5,"Finished",6,2021
"848",3,"McLaren",9,13,"Finished",6,2021
"849",7,"Alfa Romeo Racing",10,14,"Finished",6,2021
"850",99,"Alfa Romeo Racing",11,20,"Finished",6,2021
"851",77,"Mercedes",12,10,"Finished",6,2021
"852",47,"Haas F1 Team",13,17,"Finished",6,2021
"853",9,"Haas F1 Team",14,18,"Finished",6,2021
"854",44,"Mercedes",15,2,"Finished",6,2021
"855",6,"Williams",16,16,"Finished",6,2021
"856",63,"Williams",17,15,"Gearbox",6,2021
"857",33,"Red Bull Racing",18,3,"Accident",6,2021
"858",18,"Aston Martin",19,19,"Accident",6,2021
"859",31,"Alpine",20,12,"Turbo",6,2021
"860",33,"Red Bull Racing",1,1,"Finished",7,2021
"861",44,"Mercedes",2,2,"Finished",7,2021
"862",11,"Red Bull Racing",3,4,"Finished",7,2021
"863",77,"Mercedes",4,3,"Finished",7,2021
"864",4,"McLaren",5,8,"Finished",7,2021
"865",3,"McLaren",6,10,"Finished",7,2021
"866",10,"AlphaTauri",7,6,"Finished",7,2021
"867",14,"Alpine",8,9,"Finished",7,2021
"868",5,"Aston Martin",9,12,"Finished",7,2021
"869",18,"Aston Martin",10,19,"Finished",7,2021
"870",55,"Ferrari",11,5,"Finished",7,2021
"871",63,"Williams",12,14,"+1 Lap",7,2021
"872",22,"AlphaTauri",13,0,"+1 Lap",7,2021
"873",31,"Alpine",14,11,"+1 Lap",7,2021
"874",99,"Alfa Romeo Racing",15,13,"+1 Lap",7,2021
"875",16,"Ferrari",16,7,"+1 Lap",7,2021
"876",7,"Alfa Romeo Racing",17,17,"+1 Lap",7,2021
"877",6,"Williams",18,16,"+1 Lap",7,2021
"878",47,"Haas F1 Team",19,15,"+1 Lap",7,2021
"879",9,"Haas F1 Team",20,18,"+1 Lap",7,2021
"880",33,"Red Bull Racing",1,1,"Finished",8,2021
"881",44,"Mercedes",2,2,"Finished",8,2021
"882",77,"Mercedes",3,5,"Finished",8,2021
"883",11,"Red Bull Racing",4,4,"Finished",8,2021
"884",4,"McLaren",5,3,"+1 Lap",8,2021
"885",55,"Ferrari",6,12,"+1 Lap",8,2021
"886",16,"Ferrari",7,7,"+1 Lap",8,2021
"887",18,"Aston Martin",8,9,"+1 Lap",8,2021
"888",14,"Alpine",9,8,"+1 Lap",8,2021
"889",22,"AlphaTauri",10,11,"+1 Lap",8,2021
"890",7,"Alfa Romeo Racing",11,18,"+1 Lap",8,2021
"891",5,"Aston Martin",12,14,"+1 Lap",8,2021
"892",3,"McLaren",13,13,"+1 Lap",8,2021
"893",31,"Alpine",14,17,"+1 Lap",8,2021
"894",99,"Alfa Romeo Racing",15,15,"+1 Lap",8,2021
"895",47,"Haas F1 Team",16,19,"+2 Laps",8,2021
"896",6,"Williams",17,16,"+3 Laps",8,2021
"897",9,"Haas F1 Team",18,20,"+3 Laps",8,2021
"898",63,"Williams",19,10,"Engine",8,2021
"899",10,"AlphaTauri",20,6,"Collision",8,2021
"900",33,"Red Bull Racing",1,1,"Finished",9,2021
"901",77,"Mercedes",2,5,"Finished",9,2021
"902",4,"McLaren",3,2,"Finished",9,2021
"903",44,"Mercedes",4,4,"Finished",9,2021
"904",55,"Ferrari",5,10,"Finished",9,2021
"905",11,"Red Bull Racing",6,3,"Finished",9,2021
"906",3,"McLaren",7,13,"Finished",9,2021
"907",16,"Ferrari",8,12,"Finished",9,2021
"908",10,"AlphaTauri",9,6,"Finished",9,2021
"909",14,"Alpine",10,14,"+1 Lap",9,2021
"910",63,"Williams",11,8,"+1 Lap",9,2021
"911",22,"AlphaTauri",12,7,"+1 Lap",9,2021
"912",18,"Aston Martin",13,9,"+1 Lap",9,2021
"913",99,"Alfa Romeo Racing",14,15,"+1 Lap",9,2021
"914",7,"Alfa Romeo Racing",15,16,"+1 Lap",9,2021
"915",6,"Williams",16,18,"+1 Lap",9,2021
"916",5,"Aston Martin",17,11,"Collision",9,2021
"917",47,"Haas F1 Team",18,19,"+2 Laps",9,2021
"918",9,"Haas F1 Team",19,20,"+2 Laps",9,2021
"919",31,"Alpine",20,17,"Collision",9,2021
"920",44,"Mercedes",1,2,"Finished",10,2021
"921",16,"Ferrari",2,4,"Finished",10,2021
"922",77,"Mercedes",3,3,"Finished",10,2021
"923",4,"McLaren",4,5,"Finished",10,2021
"924",3,"McLaren",5,6,"Finished",10,2021
"925",55,"Ferrari",6,10,"Finished",10,2021
"926",14,"Alpine",7,7,"Finished",10,2021
"927",18,"Aston Martin",8,14,"Finished",10,2021
"928",31,"Alpine",9,9,"Finished",10,2021
"929",22,"AlphaTauri",10,16,"Finished",10,2021
"930",10,"AlphaTauri",11,11,"Finished",10,2021
"931",63,"Williams",12,12,"+1 Lap",10,2021
"932",99,"Alfa Romeo Racing",13,15,"+1 Lap",10,2021
"933",6,"Williams",14,17,"+1 Lap",10,2021
"934",7,"Alfa Romeo Racing",15,13,"+1 Lap",10,2021
"935",11,"Red Bull Racing",16,0,"+1 Lap",10,2021
"936",9,"Haas F1 Team",17,19,"+1 Lap",10,2021
"937",47,"Haas F1 Team",18,18,"+1 Lap",10,2021
"938",5,"Aston Martin",19,8,"Retired",10,2021
"939",33,"Red Bull Racing",20,1,"Collision",10,2021
"940",31,"Alpine",1,8,"Finished",11,2021
"941",44,"Mercedes",2,1,"Finished",11,2021
"942",55,"Ferrari",3,15,"Finished",11,2021
"943",14,"Alpine",4,9,"Finished",11,2021
"944",10,"AlphaTauri",5,5,"Finished",11,2021
"945",22,"AlphaTauri",6,16,"Finished",11,2021
"946",6,"Williams",7,18,"Finished",11,2021
"947",63,"Williams",8,17,"Finished",11,2021
"948",33,"Red Bull Racing",9,3,"Finished",11,2021
"949",7,"Alfa Romeo Racing",10,13,"+1 Lap",11,2021
"950",3,"McLaren",11,11,"+1 Lap",11,2021
"951",47,"Haas F1 Team",12,20,"+1 Lap",11,2021
"952",99,"Alfa Romeo Racing",13,0,"+1 Lap",11,2021
"953",9,"Haas F1 Team",14,19,"Collision",11,2021
"954",4,"McLaren",15,6,"Collision",11,2021
"955",77,"Mercedes",16,2,"Collision",11,2021
"956",11,"Red Bull Racing",17,4,"Collision",11,2021
"957",16,"Ferrari",18,7,"Collision",11,2021
"958",18,"Aston Martin",19,12,"Collision",11,2021
"959",5,"Aston Martin",20,10,"Disqualified",11,2021
"960",33,"Red Bull Racing",1,1,"Finished",12,2021
"961",63,"Williams",2,2,"Finished",12,2021
"962",44,"Mercedes",3,3,"Finished",12,2021
"963",3,"McLaren",4,4,"Finished",12,2021
"964",5,"Aston Martin",5,5,"Finished",12,2021
"965",10,"AlphaTauri",6,6,"Finished",12,2021
"966",31,"Alpine",7,8,"Finished",12,2021
"967",16,"Ferrari",8,9,"Finished",12,2021
"968",6,"Williams",9,10,"Finished",12,2021
"969",55,"Ferrari",10,11,"Finished",12,2021
"970",14,"Alpine",11,12,"Finished",12,2021
"971",77,"Mercedes",12,13,"Finished",12,2021
"972",99,"Alfa Romeo Racing",13,14,"Finished",12,2021
"973",4,"McLaren",14,15,"Finished",12,2021
"974",22,"AlphaTauri",15,16,"Finished",12,2021
"975",47,"Haas F1 Team",16,17,"Finished",12,2021
"976",9,"Haas F1 Team",17,18,"Finished",12,2021
"977",7,"Alfa Romeo Racing",18,0,"Finished",12,2021
"978",11,"Red Bull Racing",19,0,"Finished",12,2021
"979",18,"Aston Martin",20,19,"Finished",12,2021
"980",33,"Red Bull Racing",1,1,"Finished",13,2021
"981",44,"Mercedes",2,2,"Finished",13,2021
"982",77,"Mercedes",3,3,"Finished",13,2021
"983",10,"AlphaTauri",4,4,"+1 Lap",13,2021
"984",16,"Ferrari",5,5,"+1 Lap",13,2021
"985",14,"Alpine",6,9,"+1 Lap",13,2021
"986",55,"Ferrari",7,6,"+1 Lap",13,2021
"987",11,"Red Bull Racing",8,0,"+1 Lap",13,2021
"988",31,"Alpine",9,8,"+1 Lap",13,2021
"989",4,"McLaren",10,13,"+1 Lap",13,2021
"990",3,"McLaren",11,10,"+1 Lap",13,2021
"991",18,"Aston Martin",12,12,"+2 Laps",13,2021
"992",5,"Aston Martin",13,15,"+2 Laps",13,2021
"993",99,"Alfa Romeo Racing",14,7,"+2 Laps",13,2021
"994",88,"Alfa Romeo Racing",15,16,"+2 Laps",13,2021
"995",6,"Williams",16,0,"+2 Laps",13,2021
"996",63,"Williams",17,11,"Gearbox",13,2021
"997",47,"Haas F1 Team",18,17,"+3 Laps",13,2021
"998",22,"AlphaTauri",19,14,"Power Unit",13,2021
"999",9,"Haas F1 Team",20,18,"Hydraulics",13,2021
"1000",3,"McLaren",1,2,"Finished",14,2021
"1001",4,"McLaren",2,3,"Finished",14,2021
"1002",77,"Mercedes",3,19,"Finished",14,2021
"1003",16,"Ferrari",4,5,"Finished",14,2021
"1004",11,"Red Bull Racing",5,8,"Finished",14,2021
"1005",55,"Ferrari",6,6,"Finished",14,2021
"1006",18,"Aston Martin",7,9,"Finished",14,2021
"1007",14,"Alpine",8,10,"Finished",14,2021
"1008",63,"Williams",9,14,"Finished",14,2021
"1009",31,"Alpine",10,12,"Finished",14,2021
"1010",6,"Williams",11,13,"Finished",14,2021
"1011",5,"Aston Martin",12,11,"Finished",14,2021
"1012",99,"Alfa Romeo Racing",13,7,"Finished",14,2021
"1013",88,"Alfa Romeo Racing",14,17,"Finished",14,2021
"1014",47,"Haas F1 Team",15,18,"Finished",14,2021
"1015",9,"Haas F1 Team",16,16,"Power Unit",14,2021
"1016",44,"Mercedes",17,4,"Collision",14,2021
"1017",33,"Red Bull Racing",18,1,"Collision",14,2021
"1018",10,"AlphaTauri",19,0,"Suspension",14,2021
"1019",22,"AlphaTauri",20,0,"Brakes",14,2021
"1020",44,"Mercedes",1,4,"Finished",15,2021
"1021",33,"Red Bull Racing",2,20,"Finished",15,2021
"1022",55,"Ferrari",3,2,"Finished",15,2021
"1023",3,"McLaren",4,5,"Finished",15,2021
"1024",77,"Mercedes",5,16,"Finished",15,2021
"1025",14,"Alpine",6,6,"Finished",15,2021
"1026",4,"McLaren",7,1,"Finished",15,2021
"1027",7,"Alfa Romeo Racing",8,13,"Finished",15,2021
"1028",11,"Red Bull Racing",9,8,"Finished",15,2021
"1029",63,"Williams",10,3,"Finished",15,2021
"1030",18,"Aston Martin",11,7,"Finished",15,2021
"1031",5,"Aston Martin",12,10,"+1 Lap",15,2021
"1032",10,"AlphaTauri",13,11,"+1 Lap",15,2021
"1033",31,"Alpine",14,9,"+1 Lap",15,2021
"1034",16,"Ferrari",15,19,"+1 Lap",15,2021
"1035",99,"Alfa Romeo Racing",16,17,"+1 Lap",15,2021
"1036",22,"AlphaTauri",17,12,"+1 Lap",15,2021
"1037",9,"Haas F1 Team",18,15,"+2 Laps",15,2021
"1038",6,"Williams",19,18,"Accident",15,2021
"1039",47,"Haas F1 Team",20,14,"Oil leak",15,2021
"1040",77,"Mercedes",1,1,"Finished",16,2021
"1041",33,"Red Bull Racing",2,2,"Finished",16,2021
"1042",11,"Red Bull Racing",3,6,"Finished",16,2021
"1043",16,"Ferrari",4,3,"Finished",16,2021
"1044",44,"Mercedes",5,11,"Finished",16,2021
"1045",10,"AlphaTauri",6,4,"Finished",16,2021
"1046",4,"McLaren",7,7,"Finished",16,2021
"1047",55,"Ferrari",8,19,"Finished",16,2021
"1048",18,"Aston Martin",9,8,"Finished",16,2021
"1049",31,"Alpine",10,12,"+1 Lap",16,2021
"1050",99,"Alfa Romeo Racing",11,16,"+1 Lap",16,2021
"1051",7,"Alfa Romeo Racing",12,17,"+1 Lap",16,2021
"1052",3,"McLaren",13,20,"+1 Lap",16,2021
"1053",22,"AlphaTauri",14,9,"+1 Lap",16,2021
"1054",63,"Williams",15,13,"+1 Lap",16,2021
"1055",14,"Alpine",16,5,"+1 Lap",16,2021
"1056",6,"Williams",17,15,"+1 Lap",16,2021
"1057",5,"Aston Martin",18,10,"+1 Lap",16,2021
"1058",47,"Haas F1 Team",19,14,"+2 Laps",16,2021
"1059",9,"Haas F1 Team",20,18,"+2 Laps",16,2021
"1060",33,"Red Bull Racing",1,1,"Finished",17,2021
"1061",44,"Mercedes",2,2,"Finished",17,2021
"1062",11,"Red Bull Racing",3,3,"Finished",17,2021
"1063",16,"Ferrari",4,4,"Finished",17,2021
"1064",3,"McLaren",5,6,"Finished",17,2021
"1065",77,"Mercedes",6,9,"Finished",17,2021
"1066",55,"Ferrari",7,5,"Finished",17,2021
"1067",4,"McLaren",8,7,"Finished",17,2021
"1068",22,"AlphaTauri",9,10,"+1 Lap",17,2021
"1069",5,"Aston Martin",10,18,"+1 Lap",17,2021
"1070",99,"Alfa Romeo Racing",11,12,"+1 Lap",17,2021
"1071",18,"Aston Martin",12,13,"+1 Lap",17,2021
"1072",7,"Alfa Romeo Racing",13,15,"+1 Lap",17,2021
"1073",63,"Williams",14,20,"+1 Lap",17,2021
"1074",6,"Williams",15,14,"+1 Lap",17,2021
"1075",47,"Haas F1 Team",16,16,"+2 Laps",17,2021
"1076",9,"Haas F1 Team",17,17,"+2 Laps",17,2021
"1077",14,"Alpine",18,19,"Rear wing",17,2021
"1078",31,"Alpine",19,11,"Mechanical",17,2021
"1079",10,"AlphaTauri",20,8,"Suspension",17,2021
"1080",33,"Red Bull Racing",1,3,"Finished",18,2021
"1081",44,"Mercedes",2,2,"Finished",18,2021
"1082",11,"Red Bull Racing",3,4,"Finished",18,2021
"1083",10,"AlphaTauri",4,5,"Finished",18,2021
"1084",16,"Ferrari",5,8,"Finished",18,2021
"1085",55,"Ferrari",6,6,"+1 Lap",18,2021
"1086",5,"Aston Martin",7,9,"+1 Lap",18,2021
"1087",7,"Alfa Romeo Racing",8,10,"+1 Lap",18,2021
"1088",14,"Alpine",9,12,"+1 Lap",18,2021
"1089",4,"McLaren",10,18,"+1 Lap",18,2021
"1090",99,"Alfa Romeo Racing",11,11,"+1 Lap",18,2021
"1091",3,"McLaren",12,7,"+1 Lap",18,2021
"1092",31,"Alpine",13,19,"+1 Lap",18,2021
"1093",18,"Aston Martin",14,20,"+2 Laps",18,2021
"1094",77,"Mercedes",15,1,"+2 Laps",18,2021
"1095",63,"Williams",16,16,"+2 Laps",18,2021
"1096",6,"Williams",17,13,"+2 Laps",18,2021
"1097",9,"Haas F1 Team",18,15,"+3 Laps",18,2021
"1098",47,"Haas F1 Team",19,14,"Collision",18,2021
"1099",22,"AlphaTauri",20,17,"Collision",18,2021
"1100",44,"Mercedes",1,10,"Finished",19,2021
"1101",33,"Red Bull Racing",2,2,"Finished",19,2021
"1102",77,"Mercedes",3,1,"Finished",19,2021
"1103",11,"Red Bull Racing",4,4,"Finished",19,2021
"1104",16,"Ferrari",5,6,"Finished",19,2021
"1105",55,"Ferrari",6,3,"Finished",19,2021
"1106",10,"AlphaTauri",7,7,"+1 Lap",19,2021
"1107",31,"Alpine",8,8,"+1 Lap",19,2021
"1108",14,"Alpine",9,12,"+1 Lap",19,2021
"1109",4,"McLaren",10,5,"+1 Lap",19,2021
"1110",5,"Aston Martin",11,9,"+1 Lap",19,2021
"1111",7,"Alfa Romeo Racing",12,0,"+1 Lap",19,2021
"1112",63,"Williams",13,17,"+1 Lap",19,2021
"1113",99,"Alfa Romeo Racing",14,13,"+1 Lap",19,2021
"1114",22,"AlphaTauri",15,15,"+1 Lap",19,2021
"1115",6,"Williams",16,16,"+1 Lap",19,2021
"1116",9,"Haas F1 Team",17,19,"+2 Laps",19,2021
"1117",47,"Haas F1 Team",18,18,"+2 Laps",19,2021
"1118",3,"McLaren",19,11,"Power loss",19,2021
"1119",18,"Aston Martin",20,14,"Collision damage",19,2021
"1120",44,"Mercedes",1,1,"Finished",20,2021
"1121",33,"Red Bull Racing",2,7,"Finished",20,2021
"1122",14,"Alpine",3,3,"Finished",20,2021
"1123",11,"Red Bull Racing",4,11,"Finished",20,2021
"1124",31,"Alpine",5,9,"Finished",20,2021
"1125",18,"Aston Martin",6,12,"Finished",20,2021
"1126",55,"Ferrari",7,5,"Finished",20,2021
"1127",16,"Ferrari",8,13,"Finished",20,2021
"1128",4,"McLaren",9,4,"+1 Lap",20,2021
"1129",5,"Aston Martin",10,10,"+1 Lap",20,2021
"1130",10,"AlphaTauri",11,2,"+1 Lap",20,2021
"1131",3,"McLaren",12,14,"+1 Lap",20,2021
